us_city,state_name,county_name,us_city_lat,us_city_long,intl_city,country,flag_emoji,city_lat,city_long,continent
Algiers,Indiana,Pike,38.4872721,-87.1750093,Algiers,Algeria,🇩🇿,36.7753606,3.0601882,Africa
Algiers,Louisiana,Orleans,29.9449262,-90.0467379,Algiers,Algeria,🇩🇿,36.7753606,3.0601882,Africa
Buenos Aires,Arizona,Pima,31.5212005,-111.6573325,Buenos Aires,Argentina,🇦🇷,-34.6037181,-58.38153,Americas
Rosario,New Mexico,Santa Fe,35.4803138,-106.2275228,Rosario,Argentina,🇦🇷,-32.9593609,-60.6617024,Americas
Buenos Aires,Texas,Brewster,29.0852039,-103.4690674,Buenos Aires,Argentina,🇦🇷,-34.6037181,-58.38153,Americas
Rosario,Washington,San Juan,48.6487148,-122.876016,Rosario,Argentina,🇦🇷,-32.9593609,-60.6617024,Americas
Rosario Beach,Washington,Skagit,48.4195467,-122.664339,Rosario,Argentina,🇦🇷,-32.9593609,-60.6617024,Americas
Buenos Aires,Puerto Rico,San Juan,18.4385572,-66.0626658,Buenos Aires,Argentina,🇦🇷,-34.6037181,-58.38153,Americas
El Rosario,Puerto Rico,Yauco,18.0266311,-66.8568427,Rosario,Argentina,🇦🇷,-32.9593609,-60.6617024,Americas
Hacienda Rosario,Puerto Rico,Adjuntas,18.1424592,-66.7785085,Rosario,Argentina,🇦🇷,-32.9593609,-60.6617024,Americas
Rosario,Puerto Rico,San Germán,18.1624569,-67.0790684,Rosario,Argentina,🇦🇷,-32.9593609,-60.6617024,Americas
Barriada Buenos Aires,Puerto Rico,Naguabo,18.2032918,-65.7382173,Buenos Aires,Argentina,🇦🇷,-34.6037181,-58.38153,Americas
Buenos Aires,Puerto Rico,Santa Isabel,17.9680219,-66.401003,Buenos Aires,Argentina,🇦🇷,-34.6037181,-58.38153,Americas
Villa del Rosario,Puerto Rico,Naguabo,18.2169023,-65.7296063,Rosario,Argentina,🇦🇷,-32.9593609,-60.6617024,Americas
Villa del Rosario,Puerto Rico,Vega Baja,18.4485574,-66.3882255,Rosario,Argentina,🇦🇷,-32.9593609,-60.6617024,Americas
Boulevardo Buenos Aires,Puerto Rico,Arecibo,18.4705007,-66.7185084,Buenos Aires,Argentina,🇦🇷,-34.6037181,-58.38153,Americas
Melbourne,Arkansas,Izard,36.0595148,-91.9084819,Melbourne,Australia,🇦🇺,-37.8142454,144.9631732,Oceania
Adelaide,Colorado,Fremont,38.5599955,-105.0908167,Adelaide,Australia,🇦🇺,-34.9281805,138.5999312,Oceania
Perth,Delaware,New Castle,39.8037236,-75.5238111,Perth,Australia,🇦🇺,-31.9558933,115.8605855,Oceania
Melbourne Beach,Florida,Brevard,28.0683496,-80.5603303,Melbourne,Australia,🇦🇺,-37.8142454,144.9631732,Oceania
Melbourne Village,Florida,Brevard,28.0852939,-80.6664436,Melbourne,Australia,🇦🇺,-37.8142454,144.9631732,Oceania
Sydney,Florida,Hillsborough,27.9633563,-82.2073118,Sydney,Australia,🇦🇺,-33.8698439,151.2082848,Oceania
West Melbourne,Florida,Brevard,28.0716832,-80.6533878,Melbourne,Australia,🇦🇺,-37.8142454,144.9631732,Oceania
Melbourne,Florida,Brevard,28.0836269,-80.6081089,Melbourne,Australia,🇦🇺,-37.8142454,144.9631732,Oceania
Melbourne Shores,Florida,Brevard,27.9627979,-80.5094969,Melbourne,Australia,🇦🇺,-37.8142454,144.9631732,Oceania
Melbourne Gardens,Florida,Brevard,28.0908493,-80.6769993,Melbourne,Australia,🇦🇺,-37.8142454,144.9631732,Oceania
Adelaide,Georgia,Mitchell,31.2668484,-84.1485153,Adelaide,Australia,🇦🇺,-34.9281805,138.5999312,Oceania
Adelaide,Idaho,Minidoka,42.8071301,-113.7219607,Adelaide,Australia,🇦🇺,-34.9281805,138.5999312,Oceania
Brisbane,Illinois,Will,41.4925319,-87.9578313,Brisbane,Australia,🇦🇺,-27.4689682,153.0234991,Oceania
Perth,Indiana,Clay,39.5930962,-87.1619596,Perth,Australia,🇦🇺,-31.9558933,115.8605855,Oceania
Melbourne,Iowa,Marshall,41.9413772,-93.1032569,Melbourne,Australia,🇦🇺,-37.8142454,144.9631732,Oceania
Perth,Kansas,Sumner,37.1747453,-97.5053256,Perth,Australia,🇦🇺,-31.9558933,115.8605855,Oceania
Melbourne,Kentucky,Campbell,39.0297843,-84.3663279,Melbourne,Australia,🇦🇺,-37.8142454,144.9631732,Oceania
Perth,Minnesota,Blue Earth,44.0796839,-94.3588527,Perth,Australia,🇦🇺,-31.9558933,115.8605855,Oceania
Perth,Mississippi,Jefferson,31.6593332,-90.8678792,Perth,Australia,🇦🇺,-31.9558933,115.8605855,Oceania
Melbourne,Missouri,Harrison,40.1416753,-93.7877233,Melbourne,Australia,🇦🇺,-37.8142454,144.9631732,Oceania
Perth,Nevada,Pershing,40.1287984,-118.515148,Perth,Australia,🇦🇺,-31.9558933,115.8605855,Oceania
Perth Amboy,New Jersey,Middlesex,40.5067723,-74.2654234,Perth,Australia,🇦🇺,-31.9558933,115.8605855,Oceania
Perth Amboy Junction,New Jersey,Union,40.5981593,-74.2854247,Perth,Australia,🇦🇺,-31.9558933,115.8605855,Oceania
Perth,New York,Fulton,43.017574,-74.1940203,Perth,Australia,🇦🇺,-31.9558933,115.8605855,Oceania
West Perth,New York,Fulton,43.0125737,-74.2698555,Perth,Australia,🇦🇺,-31.9558933,115.8605855,Oceania
Brisbane,North Dakota,Grant,46.342505,-101.4909733,Brisbane,Australia,🇦🇺,-27.4689682,153.0234991,Oceania
Perth,North Dakota,Towner,48.7163932,-99.4579209,Perth,Australia,🇦🇺,-31.9558933,115.8605855,Oceania
Sydney,North Dakota,Stutsman,46.7308155,-98.7698262,Sydney,Australia,🇦🇺,-33.8698439,151.2082848,Oceania
Adelaide,Pennsylvania,Fayette,40.0434074,-79.623928,Adelaide,Australia,🇦🇺,-34.9281805,138.5999312,Oceania
Melbourne Heights,South Carolina,Anderson,34.5217736,-82.6401332,Melbourne,Australia,🇦🇺,-37.8142454,144.9631732,Oceania
Melbourne,Tennessee,Anderson,36.1795233,-83.9929702,Melbourne,Australia,🇦🇺,-37.8142454,144.9631732,Oceania
Perth,Virginia,Halifax,37.0165291,-78.9950151,Perth,Australia,🇦🇺,-31.9558933,115.8605855,Oceania
Hampden Sydney,Virginia,Prince Edward,37.2423746,-78.4597173,Sydney,Australia,🇦🇺,-33.8698439,151.2082848,Oceania
Melbourne,Washington,Grays Harbor,46.9453735,-123.6259961,Melbourne,Australia,🇦🇺,-37.8142454,144.9631732,Oceania
Adelaide,Washington,King,47.3309328,-122.3604012,Adelaide,Australia,🇦🇺,-34.9281805,138.5999312,Oceania
Adelaide,Washington,King,47.6498219,-122.0887333,Adelaide,Australia,🇦🇺,-34.9281805,138.5999312,Oceania
Brisbane,California,San Mateo,37.6808333,-122.4,Brisbane,Australia,🇦🇺,-27.4689682,153.0234991,Oceania
Melbourne,California,Mendocino,39.2832292,-123.6508453,Melbourne,Australia,🇦🇺,-37.8142454,144.9631732,Oceania
Melbourne Manor,Delaware,Kent,39.1002,-75.609,Melbourne,Australia,🇦🇺,-37.8142454,144.9631732,Oceania
Sydney Crossings,Florida,Hillsborough,27.9852,-82.1774,Sydney,Australia,🇦🇺,-33.8698439,151.2082848,Oceania
Vienna,Alabama,Pickens,33.0187374,-88.1919732,Vienna,Austria,🇦🇹,48.2083537,16.3725042,Europe
Vienna,Georgia,Dooly,32.0915577,-83.7954518,Vienna,Austria,🇦🇹,48.2083537,16.3725042,Europe
Vienna,Illinois,Johnson,37.4153295,-88.8978435,Vienna,Austria,🇦🇹,48.2083537,16.3725042,Europe
West Vienna,Illinois,Johnson,37.4286627,-88.9695141,Vienna,Austria,🇦🇹,48.2083537,16.3725042,Europe
Vienna,Indiana,Scott,38.6489481,-85.7688559,Vienna,Austria,🇦🇹,48.2083537,16.3725042,Europe
New Vienna,Iowa,Dubuque,42.5480503,-91.1143005,Vienna,Austria,🇦🇹,48.2083537,16.3725042,Europe
Vienna,Louisiana,Lincoln,32.5909817,-92.6479275,Vienna,Austria,🇦🇹,48.2083537,16.3725042,Europe
Vienna Bend,Louisiana,Natchitoches,31.7323868,-93.0409957,Vienna,Austria,🇦🇹,48.2083537,16.3725042,Europe
Vienna,Maine,Kennebec,44.5333976,-69.9847779,Vienna,Austria,🇦🇹,48.2083537,16.3725042,Europe
Vienna,Maryland,Dorchester,38.4848393,-75.8246563,Vienna,Austria,🇦🇹,48.2083537,16.3725042,Europe
Vienna,Missouri,Maries,38.1867085,-91.947112,Vienna,Austria,🇦🇹,48.2083537,16.3725042,Europe
Vienna Gardens,New Jersey,Atlantic,39.5112282,-74.6223799,Vienna,Austria,🇦🇹,48.2083537,16.3725042,Europe
Vienna,New York,Oneida,43.2395135,-75.7024065,Vienna,Austria,🇦🇹,48.2083537,16.3725042,Europe
Vienna,North Carolina,Forsyth,36.1376379,-80.4019988,Vienna,Austria,🇦🇹,48.2083537,16.3725042,Europe
Vienna Forest,North Carolina,Forsyth,36.1334711,-80.4011655,Vienna,Austria,🇦🇹,48.2083537,16.3725042,Europe
Vienna,Ohio,Trumbull,41.2378345,-80.6642432,Vienna,Austria,🇦🇹,48.2083537,16.3725042,Europe
South Vienna,Ohio,Clark,39.9270046,-83.6124236,Vienna,Austria,🇦🇹,48.2083537,16.3725042,Europe
New Vienna,Ohio,Clinton,39.3236736,-83.6910336,Vienna,Austria,🇦🇹,48.2083537,16.3725042,Europe
Vienna,South Dakota,Clark,44.7030219,-97.5014704,Vienna,Austria,🇦🇹,48.2083537,16.3725042,Europe
Vienna,Texas,Lavaca,29.3783004,-96.7924779,Vienna,Austria,🇦🇹,48.2083537,16.3725042,Europe
Vienna Woods,Virginia,Fairfax,38.8878894,-77.2474822,Vienna,Austria,🇦🇹,48.2083537,16.3725042,Europe
Vienna,Virginia,Fairfax,38.9012225,-77.2652604,Vienna,Austria,🇦🇹,48.2083537,16.3725042,Europe
Vienna,West Virginia,Wood,39.3270191,-81.5484578,Vienna,Austria,🇦🇹,48.2083537,16.3725042,Europe
Vienna Corners,Michigan,Otsego,44.9702879,-84.3708475,Vienna,Austria,🇦🇹,48.2083537,16.3725042,Europe
Vienna Junction,Michigan,Montmorency,44.8797336,-84.323625,Vienna,Austria,🇦🇹,48.2083537,16.3725042,Europe
Vienna,Michigan,Monroe,41.7869911,-83.4779893,Vienna,Austria,🇦🇹,48.2083537,16.3725042,Europe
Vienna Junction,Michigan,Monroe,41.7500473,-83.5049343,Vienna,Austria,🇦🇹,48.2083537,16.3725042,Europe
Vienna Heights,New York,Saratoga,42.9452778,-73.9041667,Vienna,Austria,🇦🇹,48.2083537,16.3725042,Europe
Vienna Estates,New York,Wayne,43.015,-77.0780556,Vienna,Austria,🇦🇹,48.2083537,16.3725042,Europe
Brussels,Illinois,Calhoun,38.9494939,-90.5887314,Brussels,Belgium,🇧🇪,50.8550018,4.351233376,Europe
Brussels,Wisconsin,Door,44.7361071,-87.6209298,Brussels,Belgium,🇧🇪,50.8550018,4.351233376,Europe
Santa Cruz,Arizona,Pima,32.0345181,-111.90707,Santa Cruz,Bolivia,🇧🇴,-17.333333,-61.5,Americas
